station,name,x,y,tair
40282.0,Nambour Dpi,152.9,-26.6,[26.500 - 29]
40284.0,Beerburrum Forest Station,153.0,-27.0,[26.500 - 29]
40405.0,Hervey Bay Airport,152.9,-25.3,[26.500 - 29]
40555.0,Toolara (Kelly),152.9,-26.0,[26.500 - 29]
40651.0,Jimna Forestry,152.5,-26.7,[21.500 - 24]
40717.0,Coolangatta,153.5,-28.2,[24 - 26.500]
40764.0,Gold Coast Seaway,153.4,-27.9,[24 - 26.500]
40842.0,Brisbane Aero,153.1,-27.4,[24 - 26.500]
40861.0,Sunshine Coast Airport,153.1,-26.6,[26.500 - 29]
40908.0,Tewantin Rsl Park,153.0,-26.4,[26.500 - 29]
40913.0,Brisbane,153.0,-27.5,[26.500 - 29]
40922.0,Kingaroy Airport,151.8,-26.6,[24 - 26.500]
40958.0,Redcliffe,153.1,-27.2,[24 - 26.500]
40983.0,Beaudesert Drumley Street,153.0,-28.0,[26.500 - 29]
40988.0,Nambour Daff - Hillside,152.9,-26.6,[24 - 26.500]
41097.0,Inglewood Forest,151.0,-28.4,[24 - 26.500]
41175.0,Applethorpe,152.0,-28.6,[21.500 - 24]
41359.0,Oakey Aero,151.7,-27.4,[24 - 26.500]
41522.0,Dalby Airport,151.3,-27.2,[24 - 26.500]
41525.0,Warwick,152.1,-28.2,[24 - 26.500]
41529.0,Toowoomba Airport,151.9,-27.5,[21.500 - 24]
42112.0,Miles Constance Street,150.2,-26.7,[26.500 - 29]
43091.0,Roma Airport,148.8,-26.5,[26.500 - 29]
43109.0,St George Airport,148.6,-28.0,[26.500 - 29]
44021.0,Charleville Aero,146.3,-26.4,[29 - 31.500]
45009.0,Ballera Gas Field,141.8,-27.4,[31.500 - 34]
45025.0,Thargomindah Airport,143.8,-28.0,[31.500 - 34]
46012.0,Wilcannia Aerodrome Aws,143.4,-31.5,[29 - 31.500]
46126.0,Tibooburra Airport,142.1,-29.4,[29 - 31.500]
46128.0,Fowlers Gap Aws,141.7,-31.1,[26.500 - 29]
46129.0,White Cliffs Aws,143.1,-30.9,[29 - 31.500]
47048.0,Broken Hill Airport Aws,141.5,-32.0,[26.500 - 29]
48027.0,Cobar Mo,145.8,-31.5,[26.500 - 29]
48237.0,Cobar Airport Aws,145.8,-31.5,[26.500 - 29]
48245.0,Bourke Airport Aws,146.0,-30.0,[29 - 31.500]
49000.0,Ivanhoe Aerodrome Aws,144.3,-32.9,[26.500 - 29]
50017.0,West Wyalong Airport Aws,147.2,-33.9,[26.500 - 29]
50137.0,Condobolin Airport Aws,147.2,-33.1,[26.500 - 29]
51049.0,Trangie Research Station Aws,147.9,-32.0,[26.500 - 29]
51161.0,Coonamble Airport Aws,148.4,-31.0,[26.500 - 29]
52088.0,Walgett Airport Aws,148.1,-30.0,[29 - 31.500]
53115.0,Moree Aero,149.8,-29.5,[26.500 - 29]
54038.0,Narrabri Airport Aws,149.8,-30.3,[26.500 - 29]
55202.0,Gunnedah Airport Aws,150.2,-31.0,[26.500 - 29]
55325.0,Tamworth Airport Aws,150.8,-31.1,[26.500 - 29]
56018.0,Inverell Research Centre,151.1,-29.8,[24 - 26.500]
56238.0,Armidale Airport Aws,151.6,-30.5,[19 - 21.500]
56243.0,Glen Innes Airport Aws,151.7,-29.7,[19 - 21.500]
58012.0,Yamba Pilot Station,153.4,-29.4,[24 - 26.500]
58077.0,Grafton Research Stn,153.0,-29.6,[24 - 26.500]
58161.0,Grafton Airport Aws,153.0,-29.8,[24 - 26.500]
58198.0,Ballina Airport Aws,153.6,-28.8,[24 - 26.500]
58208.0,Casino Airport Aws,153.1,-28.9,[24 - 26.500]
58212.0,Evans Head Raaf Bombing Range Aws,153.4,-29.2,[24 - 26.500]
58214.0,Lismore Airport Aws,153.3,-28.8,[24 - 26.500]
58216.0,Byron Bay (Cape Byron Aws),153.6,-28.6,[24 - 26.500]
59007.0,Kempsey Airport Aws,152.8,-31.1,[24 - 26.500]
59040.0,Coffs Harbour Mo,153.1,-30.3,[24 - 26.500]
