ENO,Name,Synonyms,State,Operating Status,Longitude,Latitude,Commodities,Significance,Description1,URL1,Description2,URL2,Description3,URL3,Description4,URL4,Description5,URL5
333817,South Walker Creek,Kemmis-Walker,QLD,operating mine,148.4427135,-21.77094156,Coal - black,2,BMA,http://www.bmacoal.com,,,,,,,,
335802,Ravensworth Narama,,NSW,operating mine,151.0399826,-32.45684035,Coal - black,4,Xstrata plc,http://www.xstrata.com/,Iluka Resources Ltd,http://www.iluka.com,,,,,,
335075,Springvale,Lamberts Gully,NSW,operating mine,150.1056266,-33.40059975,Coal - black,2,Centennial Coal Co Ltd,http://www.centennialcoal.com.au,,,,,,,,
335487,Gaffneys Creek,,VIC,operating mine,146.1997,-37.5051,Gold,5,A1 Consolidated Gold Limited,http://www.a1consolidated.com.au/,,,,,,,,
335715,Twin Hills (Texas Silver),Twin Hills Project,QLD,operating mine,151.2635,-28.8474,"Silver, (Gold)",6,Alcyone Resources Limited,http://www.alcyone.com.au,,,,,,,,
334438,Tasman,O'Donnell,NSW,operating mine,151.5400023,-32.886825,Coal - black,3,Ellemby Resources,http://www.ellemby.com,,,,,,,,
335039,Bootu Creek,"Shekuma, Gogo, Chugga, Tourag, Xhosa",NT,operating mine,134.125836,-18.699756,"Manganese ore, (Manganese)",3,OM Holdings Ltd,http://www.omholdingsltd.com,,,,,,,,
333876,Rosebery,,TAS,operating mine,145.5431,-41.7723,"Zinc, Lead, Gold, Silver, (Copper, Cadmium, Bismuth, Antimony)",3,MMG Limited,http://www.mmg.com/,,,,,,,,
334638,Savage River (Grange Resources),"North Pit, Centre Pit, South Pit",TAS,operating mine,145.2044288,-41.4879824,"Iron ore, (Iron, Vanadium)",3,Grange Resources,http://www.grangeresources.com.au,Australian Bulk Minerals,http://www.ausbm.com.au,,,,,,
335458,Starra,Selwyn,QLD,operating mine,140.4833135,-21.68032683,"Copper, Gold",3,Inova Resources,http://www.inovaresources.com/,,,,,,,,
334640,Sons of Gwalia,Leonora Operations,WA,operating mine,121.334,-28.9185,Gold,3,St Barbara Limited,http://www.stbarbara.com.au,,,,,,,,
335383,Baal Gammon,"UNA, Watsonville",QLD,operating mine,145.3258365,-17.37899423,"Copper, Indium, Tin, Silver",4,Kagara Limited,http://www.kagara.com.au,Monto Minerals Limited,http://www.montominerals.com/,,,,,,
334890,Tallawang,"Tallawang-Puggong, Tallawang North, Tallawang South,",NSW,operating mine,149.4511433,-32.19530463,"Iron ore, (Iron)",5,Unimin Australia Ltd,http://www.unimin.com.au,,,,,,,,
335893,Frog's Leg,Mungari East Project,WA,operating mine,121.2701,-30.7616,Gold,3,Alacer Gold Corporation,http://www.alacergold.com/,La Mancha Resources Inc - Frogs Leg,http://www.lamancha.ca/en/our-assets/overview,,,,,,
335532,Drayton,Saddlers Creek,NSW,operating mine,150.9112535,-32.34728147,Coal - black,3,Anglo Coal Australia Pty Ltd,http://www.anglocoal.com.au/,,,,,,,,
336032,New Acland,"Acland, Glen Roslyn, Sabine, Manningvale East, Manningvale West",QLD,operating mine,151.7078306,-27.26962778,Coal - black,2,New Hope Coal,http://www.newhopecoal.com.au,,,,,,,,
333502,Blackwater,"Stewarton, Taurus, Tannyfoil, Wilpeena",QLD,operating mine,148.8073609,-23.68558484,Coal - black,2,BMA,http://www.bmacoal.com,,,,,,,,
333989,Burton,"Burton Downs, Kerlong, Plumtree",QLD,operating mine,148.172558,-21.588585,Coal - black,3,Peabody Energy Australia,http://www.peabodyenergy.com.au,,,,,,,,
335474,Callide,includes EPC188 & Boundary Hill,QLD,operating mine,150.622173,-24.310921,Coal - black,1,Anglo Coal Australia Pty Ltd,http://www.anglocoal.com.au/,,,,,,,,
333552,Clermont,,QLD,operating mine,147.6307675,-22.68921638,Coal - black,2,Rio Tinto Limited,http://www.riotinto.com,Rio Tinto Coal Australia,http://www.riotintocoalaustralia.com.au,,,,,,
334340,Collinsville,"McNaughton, Wollombi",QLD,operating mine,147.7685567,-20.56760812,Coal - black,2,Xstrata plc,http://www.xstrata.com/,Itochu Corporation,http://www.itochu.co.jp/main/index_e.html,,,,,,
335302,Cook,Leichardt Colliery,QLD,operating mine,148.914684,-23.709213,Coal - black,2,Caledon Resources plc,http://www.caledonresources.com,,,,,,,,
335819,Ensham,Yongala,QLD,operating mine,148.4974547,-23.45446377,Coal - black,2,Ensham Resources,http://www.ensham.com.au/,,,,,,,,
335849,German Creek East,includes Oak Park,QLD,operating mine,148.650065,-22.918035,Coal - black,6,Anglo Coal Australia Pty Ltd,http://www.anglocoal.com.au/,,,,,,,,
335475,Goonyella,"Goonyella-Riverside, Cleanskin, Broadmeadow, Eureka, Redhill, Isaac, Riverside",QLD,operating mine,147.9620447,-21.79232059,Coal - black,1,BMA,http://www.bmacoal.com,,,,,,,,
